actor_id,actor_name
1,CCH Pounder
2,Johnny Depp
3,Christoph Waltz
4,Tom Hardy
5,Doug Walker
6,Daryl Sabara
7,J.K. Simmons
8,Brad Garrett
9,Chris Hemsworth
10,Alan Rickman
11,Henry Cavill
12,Kevin Spacey
13,Giancarlo Giannini
14,Peter Dinklage
15,Will Smith
16,Aidan Turner
17,Emma Stone
18,Mark Addy
19,Christopher Lee
20,Naomi Watts
21,Leonardo DiCaprio
22,Robert Downey Jr.
23,Liam Neeson
24,Bryce Dallas Howard
25,Albert Finney
26,Hugh Jackman
27,Steve Buscemi
28,Glenn Morshower
29,Bingbing Li
30,Tim Holmes
31,Jeff Bridges
32,Joe Mantegna
33,Ryan Reynolds
34,Tom Hanks
35,Christian Bale
36,Jason Statham
37,Peter Capaldi
38,Jennifer Lawrence
39,Benedict Cumberbatch
40,Eddie Marsan
41,Jake Gyllenhaal
42,Charlie Hunnam
43,Harrison Ford
44,A.J. Buckley
45,Kelly Macdonald
46,Sofia Boutella
47,John Ratzenberger
48,Tzi Ma
49,Oliver Platt
50,Robin Wright
51,Channing Tatum
52,Jim Broadbent
53,Amy Poehler
54,Chloë Grace Moretz
55,Jet Li
56,Jimmy Bennett
57,Tom Cruise
58,Jeanne Tripplehorn
59,Joseph Gordon-Levitt
60,Scarlett Johansson
61,Angelina Jolie Pitt
62,Gary Oldman
63,Tamsin Egerton
64,Keanu Reeves
65,Jon Hamm
66,Judy Greer
67,Damon Wayans Jr.
68,Jack McBrayer
69,Vivica A. Fox
70,Gerard Butler
71,Nick Stahl
72,Bradley Cooper
73,Matthew McConaughey
74,Mark Chinnery
75,Paul Walker
76,Brad Pitt
77,Nicolas Cage
78,Justin Timberlake
79,Dominic Cooper
80,Bruce Spence
81,Jennifer Garner
82,Zack Ward
83,Anthony Hopkins
84,Robert Pattinson
85,Janeane Garofalo
86,Bernie Mac
87,Robin Williams
88,Essie Davis
89,Josh Gad
90,Steve Bastoni
91,Kelli Garner
92,Matthew Broderick
93,Seychelle Gabriel
94,Philip Seymour Hoffman
95,Elisabeth Harnois
96,Ty Burrell
97,Jada Pinkett Smith
98,Toby Stephens
99,Ed Begley Jr.
100,Bruce Willis
101,John Michael Higgins
102,Sam Shepard
103,Matt Frewer
104,Kevin Rankin
105,Chris Evans
106,Colin Salmon
107,James D'Arcy
108,Don Johnson
109,Mark Rylance
110,Matt Damon
111,Jim Parsons
112,Salma Hayek
113,Toby Jones
114,Daniel Radcliffe
115,Alfre Woodard
116,Rupert Grint
117,Miguel Ferrer
118,Ronny Cox
119,Tony Curran
120,Jeremy Renner
121,Michael Gough
122,Clint Howard
123,Karen Allen
124,Suraj Sharma
125,Demi Moore
126,Michael Fassbender
127,Nathan Lane
128,Vin Diesel
129,Scott Porter
130,Shelley Conn
131,Morgan Freeman
132,Natalie Portman
133,Alain Delon
134,Noel Fisher
135,Phaldut Sharma
136,Jamie Renée Smith
137,Stephen Amell
138,Tim Blake Nelson
139,Dwayne Johnson
140,Vincent Schiavelli
141,Heath Ledger
142,Kate Winslet
143,James Corden
144,George Peppard
145,Eva Green
146,Mahadeo Shivraj
147,Jacob Tremblay
148,Jason Patric
149,Sean Hayes
150,Chazz Palminteri
151,Oprah Winfrey
152,Mathew Buck
153,Del Zamora
154,Djimon Hounsou
155,Cary-Hiroyuki Tagawa
156,Joe Morton
157,Denzel Washington
158,Jamie Lee Curtis
159,Robert De Niro
160,Vanessa Williams
161,Eartha Kitt
162,Catherine O'Hara
