movie_id,actor_id
1,1
1,1727
1,496
2,2
2,181
2,1024
3,3
3,2099
3,4131
4,4
4,35
4,59
5,5
5,2100
5,1764
6,6
6,1060
6,2417
7,7
7,183
7,397
8,8
8,1697
8,2123
9,9
9,22
9,60
10,10
10,114
10,116
11,11
11,1187
11,4132
12,12
12,374
12,282
13,13
13,1082
13,2099
14,2
14,181
14,1024
15,2
15,615
15,385
16,11
16,265
16,728
17,14
17,2101
17,1696
18,9
18,22
18,60
19,2
19,848
19,1055
20,15
20,1320
20,4133
21,16
21,2102
21,1372
22,17
22,491
22,781
23,18
23,1031
23,711
24,16
24,2102
24,1372
25,19
25,145
25,937
26,20
26,1045
26,4134
27,21
27,142
27,4135
28,22
28,60
28,105
29,23
29,789
29,956
30,24
30,66
30,481
31,25
31,2103
31,2099
32,7
32,183
32,397
33,22
33,212
33,203
34,2
34,10
34,204
35,26
35,946
35,4136
36,27
36,684
36,149
37,28
37,2104
37,2180
38,29
38,390
38,946
39,30
39,376
39,183
40,17
40,491
40,4137
41,31
41,352
41,1445
42,32
42,1045
42,1054
43,33
43,2105
43,4138
44,34
44,47
44,1101
45,35
45,24
45,1127
46,36
46,75
46,128
47,37
47,76
47,611
48,38
48,14
48,26
49,39
49,237
49,4139
50,40
50,2106
50,4140
51,21
51,2107
51,4020
52,41
52,1147
52,3476
53,42
53,361
53,2288
54,28
54,2108
54,2104
55,43
55,168
55,52
56,44
56,2109
56,4141
57,45
57,47
57,386
58,46
58,2110
58,4142
59,47
59,1419
59,3716
60,48
60,2111
60,2776
61,49
61,2112
61,4143
62,50
62,299
62,62
63,51
63,376
63,387
64,3
64,789
64,4144
65,52
65,2113
65,2127
66,38
66,126
66,2558
67,35
67,141
67,131
68,47
68,305
68,2906
69,53
69,675
69,1658
70,22
70,31
70,212
71,54
71,19
71,168
72,15
72,112
72,263
73,55
73,241
73,1883
74,15
74,2114
74,2538
75,56
75,131
75,253
76,57
76,2115
76,1247
77,58
77,2116
77,4145
78,59
78,185
78,2807
79,53
79,2117
79,4146
80,60
80,193
80,3178
81,22
81,60
81,212
82,9
82,225
82,848
83,61
83,645
83,1170
84,62
84,66
84,2319
85,63
85,2118
85,3355
86,64
86,155
86,4147
87,60
87,105
87,178
88,65
88,2119
88,4148
89,66
89,2120
89,4149
90,67
90,2121
90,2289
91,68
91,555
91,697
92,34
92,2122
92,4150
93,69
93,864
93,4151
94,70
94,722
94,672
95,71
95,2123
95,4152
96,72
96,128
96,154
97,73
97,204
97,844
98,21
98,4
98,59
99,74
99,2124
99,4153
100,16
100,2102
100,1372
101,75
101,128
101,1020
102,76
102,252
102,262
103,38
103,126
103,49
104,38
104,94
104,163
105,77
105,2125
105,4154
106,56
106,747
106,2147
107,2
107,10
107,204
108,78
108,377
108,273
109,79
109,636
109,4155
110,7
110,2126
110,714
111,80
111,2127
111,4156
112,81
112,403
112,875
113,82
113,437
113,2104
114,83
114,61
114,595
115,84
115,114
115,2151
116,84
116,114
116,116
117,15
117,234
117,40
118,15
118,639
118,4157
119,2
119,19
119,2278
120,85
120,47
120,509
121,35
121,23
121,131
122,86
122,97
122,355
123,87
123,300
123,251
124,26
124,33
124,4158
125,88
125,2128
125,2328
126,89
126,2129
126,4159
127,90
127,2130
127,4160
128,9
128,132
128,83
129,4
129,234
129,705
130,34
130,260
130,420
131,9
131,132
131,83
132,54
132,857
132,4161
133,91
133,2131
133,4162
134,23
134,963
134,4163
135,2
135,54
135,19
136,57
136,120
136,3088
137,83
137,1621
137,4164
138,3
138,789
138,4144
139,92
139,151
139,738
140,61
140,62
140,4165
141,93
141,2132
141,884
142,94
142,57
142,40
143,51
143,2133
143,4166
144,95
144,1461
144,1578
145,26
145,142
145,2623
146,26
146,746
146,2292
147,96
147,2134
147,4167
148,76
148,181
148,700
149,97
149,184
149,355
150,98
150,106
150,571
151,99
151,2135
151,4168
152,100
152,27
152,297
153,15
153,170
153,738
154,50
154,83
154,4169
155,7
155,61
155,318
156,57
156,120
156,1102
157,26
157,2136
157,2245
158,101
158,458
158,4170
159,57
159,1023
159,2549
160,35
160,1064
160,2371
161,9
161,195
161,237
162,7
162,183
162,397
163,70
163,154
163,722
164,70
164,2137
164,2149
165,102
165,156
165,2186
166,103
166,853
166,1297
167,55
167,576
167,4171
168,104
168,2138
168,2478
169,51
169,139
169,2137
170,73
170,675
170,305
171,27
171,194
171,3360
172,105
172,79
172,178
173,106
173,2139
173,644
174,107
174,2140
174,4172
175,84
175,225
175,331
176,87
176,76
176,1127
177,96
177,1074
177,1031
178,108
178,2141
178,4173
179,109
179,2142
179,2158
180,21
180,4
180,3410
181,33
181,338
181,3663
182,2
182,168
182,389
183,39
183,2143
183,4174
184,110
184,963
184,25
185,61
185,318
185,1461
186,66
186,178
186,979
187,38
187,163
187,692
188,84
188,225
188,331
189,111
189,2144
189,4175
190,57
190,504
190,2421
191,15
191,2145
191,529
192,112
192,2146
192,2917
193,61
193,2147
193,4176
194,83
194,342
194,188
195,113
195,2148
195,119
196,114
196,62
196,116
197,88
197,2149
197,4177
198,15
198,705
198,28
199,115
199,2150
199,4178
200,116
200,1443
200,4179
201,87
201,300
201,251
202,7
202,76
202,167
203,114
203,2151
203,317
204,33
204,31
204,1227
205,74
205,2124
205,4153
206,2
206,181
206,1024
207,116
207,113
207,4180
208,38
208,94
208,163
209,34
209,2152
209,1128
210,117
210,2153
210,4181
211,26
211,2154
211,4048
212,75
212,128
212,139
213,22
213,40
213,2728
214,23
214,252
214,2161
215,118
215,2155
215,1279
216,119
216,2156
216,993
217,120
217,583
217,1879
218,121
218,69
218,4182
219,122
219,2157
219,2894
220,41
220,185
220,864
221,57
221,365
221,2186
222,123
222,1272
222,2431
223,105
223,174
223,2147
224,124
224,2158
224,4183
225,77
225,2159
225,1210
226,110
226,2160
226,3594
227,125
227,86
227,538
228,126
228,234
228,3088
229,127
229,8
229,1133
230,110
230,645
230,639
231,128
231,2161
231,4184
232,62
232,165
232,399
233,129
233,2162
233,4185
234,130
234,2163
234,4186
235,57
235,364
235,529
236,131
236,57
236,4187
237,132
237,19
237,564
238,132
238,19
238,564
239,27
239,47
239,631
240,26
240,2164
240,4188
241,132
241,23
241,954
242,33
242,17
242,77
243,133
243,2165
243,4189
244,77
244,2166
244,1498
245,9
245,848
245,234
246,134
246,2167
246,4190
247,135
247,2168
247,4191
248,136
248,2169
248,48
249,137
249,134
249,8
250,138
250,2170
250,4192
251,87
251,300
251,251
252,139
252,174
252,614
253,140
253,106
253,507
254,141
254,549
254,385
255,76
255,219
255,4193
256,76
256,61
256,4194
257,142
257,284
257,482
258,21
258,192
258,166
259,143
259,2171
259,4195
260,3
260,385
260,4196
261,144
261,2172
261,4197
262,145
262,1315
262,1074
263,146
263,2173
263,4198
264,27
264,2174
264,4199
265,20
265,284
265,705
266,26
266,2175
266,4200
267,147
267,1550
267,4201
268,148
268,2105
268,2587
269,43
269,2176
269,4202
270,100
270,2177
270,2967
271,19
271,181
271,2197
272,52
272,251
272,1587
273,15
273,97
273,156
274,149
274,366
274,4203
275,15
275,237
275,2254
276,23
276,181
276,4204
277,150
277,127
277,935
278,151
278,2178
278,1135
279,110
279,1723
279,2496
280,152
280,1764
280,1764
281,60
281,27
281,154
282,153
282,673
282,3178
283,77
283,61
283,227
284,154
284,264
284,616
285,57
285,777
285,3113
286,114
286,116
286,342
287,145
287,435
287,341
288,155
288,335
288,731
289,156
289,2179
289,2018
290,2
290,35
290,1055
291,157
291,1389
291,2265
292,158
292,228
292,2705
293,157
293,2180
293,4205
294,159
294,755
294,1444
295,139
295,167
295,4206
296,160
296,631
296,4207
297,21
297,3
297,3594
298,125
298,498
298,2592
299,161
299,2181
299,2793
300,36
300,238
300,100
301,77
301,1538
301,2871
302,154
302,1502
302,829
303,162
303,2182
303,4208
304,26
304,746
304,2292
305,163
305,2183
305,4209
306,2
306,61
306,296
307,1
307,442
307,1450
308,21
308,154
308,1288
309,21
309,73
309,212
310,121
310,2184
310,670
311,164
311,2185
311,1080
