movie_id,movie_title,release_date,language,directed_by
1,Avatar ,2009.0,English,James Cameron
2,Pirates of the Caribbean: At World's End ,2007.0,English,Gore Verbinski
3,Spectre ,2015.0,English,Sam Mendes
4,The Dark Knight Rises ,2012.0,English,Christopher Nolan
5,Star Wars: Episode VII - The Force Awakens             ,,,Doug Walker
6,John Carter ,2012.0,English,Andrew Stanton
7,Spider-Man 3 ,2007.0,English,Sam Raimi
8,Tangled ,2010.0,English,Nathan Greno
9,Avengers: Age of Ultron ,2015.0,English,Joss Whedon
10,Harry Potter and the Half-Blood Prince ,2009.0,English,David Yates
11,Batman v Superman: Dawn of Justice ,2016.0,English,Zack Snyder
12,Superman Returns ,2006.0,English,Bryan Singer
13,Quantum of Solace ,2008.0,English,Marc Forster
14,Pirates of the Caribbean: Dead Man's Chest ,2006.0,English,Gore Verbinski
15,The Lone Ranger ,2013.0,English,Gore Verbinski
16,Man of Steel ,2013.0,English,Zack Snyder
17,The Chronicles of Narnia: Prince Caspian ,2008.0,English,Andrew Adamson
18,The Avengers ,2012.0,English,Joss Whedon
19,Pirates of the Caribbean: On Stranger Tides ,2011.0,English,Rob Marshall
20,Men in Black 3 ,2012.0,English,Barry Sonnenfeld
21,The Hobbit: The Battle of the Five Armies ,2014.0,English,Peter Jackson
22,The Amazing Spider-Man ,2012.0,English,Marc Webb
23,Robin Hood ,2010.0,English,Ridley Scott
24,The Hobbit: The Desolation of Smaug ,2013.0,English,Peter Jackson
25,The Golden Compass ,2007.0,English,Chris Weitz
26,King Kong ,2005.0,English,Peter Jackson
27,Titanic ,1997.0,English,James Cameron
28,Captain America: Civil War ,2016.0,English,Anthony Russo
29,Battleship ,2012.0,English,Peter Berg
30,Jurassic World ,2015.0,English,Colin Trevorrow
31,Skyfall ,2012.0,English,Sam Mendes
32,Spider-Man 2 ,2004.0,English,Sam Raimi
33,Iron Man 3 ,2013.0,English,Shane Black
34,Alice in Wonderland ,2010.0,English,Tim Burton
35,X-Men: The Last Stand ,2006.0,English,Brett Ratner
36,Monsters University ,2013.0,English,Dan Scanlon
37,Transformers: Revenge of the Fallen ,2009.0,English,Michael Bay
38,Transformers: Age of Extinction ,2014.0,English,Michael Bay
39,Oz the Great and Powerful ,2013.0,English,Sam Raimi
40,The Amazing Spider-Man 2 ,2014.0,English,Marc Webb
41,TRON: Legacy ,2010.0,English,Joseph Kosinski
42,Cars 2 ,2011.0,English,John Lasseter
43,Green Lantern ,2011.0,English,Martin Campbell
44,Toy Story 3 ,2010.0,English,Lee Unkrich
45,Terminator Salvation ,2009.0,English,McG
46,Furious 7 ,2015.0,English,James Wan
47,World War Z ,2013.0,English,Marc Forster
48,X-Men: Days of Future Past ,2014.0,English,Bryan Singer
49,Star Trek Into Darkness ,2013.0,English,J.J. Abrams
50,Jack the Giant Slayer ,2013.0,English,Bryan Singer
51,The Great Gatsby ,2013.0,English,Baz Luhrmann
52,Prince of Persia: The Sands of Time ,2010.0,English,Mike Newell
53,Pacific Rim ,2013.0,English,Guillermo del Toro
54,Transformers: Dark of the Moon ,2011.0,English,Michael Bay
55,Indiana Jones and the Kingdom of the Crystal Skull ,2008.0,English,Steven Spielberg
56,The Good Dinosaur ,2015.0,English,Peter Sohn
57,Brave ,2012.0,English,Mark Andrews
58,Star Trek Beyond ,2016.0,English,Justin Lin
59,WALL·E ,2008.0,English,Andrew Stanton
60,Rush Hour 3 ,2007.0,English,Brett Ratner
61,2012 ,2009.0,English,Roland Emmerich
62,A Christmas Carol ,2009.0,English,Robert Zemeckis
63,Jupiter Ascending ,2015.0,English,Lana Wachowski
64,The Legend of Tarzan ,2016.0,English,David Yates
65,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005.0,English,Andrew Adamson
66,X-Men: Apocalypse ,2016.0,English,Bryan Singer
67,The Dark Knight ,2008.0,English,Christopher Nolan
68,Up ,2009.0,English,Pete Docter
69,Monsters vs. Aliens ,2009.0,English,Rob Letterman
70,Iron Man ,2008.0,English,Jon Favreau
71,Hugo ,2011.0,English,Martin Scorsese
72,Wild Wild West ,1999.0,English,Barry Sonnenfeld
73,The Mummy: Tomb of the Dragon Emperor ,2008.0,English,Rob Cohen
74,Suicide Squad ,2016.0,English,David Ayer
75,Evan Almighty ,2007.0,English,Tom Shadyac
76,Edge of Tomorrow ,2014.0,English,Doug Liman
77,Waterworld ,1995.0,English,Kevin Reynolds
78,G.I. Joe: The Rise of Cobra ,2009.0,English,Stephen Sommers
79,Inside Out ,2015.0,English,Pete Docter
80,The Jungle Book ,2016.0,English,Jon Favreau
81,Iron Man 2 ,2010.0,English,Jon Favreau
82,Snow White and the Huntsman ,2012.0,English,Rupert Sanders
83,Maleficent ,2014.0,English,Robert Stromberg
84,Dawn of the Planet of the Apes ,2014.0,English,Matt Reeves
85,The Lovers ,2015.0,English,Roland Joffé
86,47 Ronin ,2013.0,English,Carl Rinsch
87,Captain America: The Winter Soldier ,2014.0,English,Anthony Russo
88,Shrek Forever After ,2010.0,English,Mike Mitchell
89,Tomorrowland ,2015.0,English,Brad Bird
90,Big Hero 6 ,2014.0,English,Don Hall
91,Wreck-It Ralph ,2012.0,English,Rich Moore
92,The Polar Express ,2004.0,English,Robert Zemeckis
93,Independence Day: Resurgence ,2016.0,English,Roland Emmerich
94,How to Train Your Dragon ,2010.0,English,Dean DeBlois
95,Terminator 3: Rise of the Machines ,2003.0,English,Jonathan Mostow
96,Guardians of the Galaxy ,2014.0,English,James Gunn
97,Interstellar ,2014.0,English,Christopher Nolan
98,Inception ,2010.0,English,Christopher Nolan
99,Godzilla Resurgence ,2016.0,Japanese,Hideaki Anno
100,The Hobbit: An Unexpected Journey ,2012.0,English,Peter Jackson
101,The Fast and the Furious ,2001.0,English,Rob Cohen
102,The Curious Case of Benjamin Button ,2008.0,English,David Fincher
103,X-Men: First Class ,2011.0,English,Matthew Vaughn
104,The Hunger Games: Mockingjay - Part 2 ,2015.0,English,Francis Lawrence
105,The Sorcerer's Apprentice ,2010.0,English,Jon Turteltaub
106,Poseidon ,2006.0,English,Wolfgang Petersen
107,Alice Through the Looking Glass ,2016.0,English,James Bobin
108,Shrek the Third ,2007.0,English,Chris Miller
109,Warcraft ,2016.0,English,Duncan Jones
110,Terminator Genisys ,2015.0,English,Alan Taylor
111,The Chronicles of Narnia: The Voyage of the Dawn Treader ,2010.0,English,Michael Apted
112,Pearl Harbor ,2001.0,English,Michael Bay
113,Transformers ,2007.0,English,Michael Bay
114,Alexander ,2004.0,English,Oliver Stone
115,Harry Potter and the Order of the Phoenix ,2007.0,English,David Yates
116,Harry Potter and the Goblet of Fire ,2005.0,English,Mike Newell
117,Hancock ,2008.0,English,Peter Berg
118,I Am Legend ,2007.0,English,Francis Lawrence
119,Charlie and the Chocolate Factory ,2005.0,English,Tim Burton
120,Ratatouille ,2007.0,English,Brad Bird
121,Batman Begins ,2005.0,English,Christopher Nolan
122,Madagascar: Escape 2 Africa ,2008.0,English,Eric Darnell
123,Night at the Museum: Battle of the Smithsonian ,2009.0,English,Shawn Levy
124,X-Men Origins: Wolverine ,2009.0,English,Gavin Hood
125,The Matrix Revolutions ,2003.0,English,Lana Wachowski
126,Frozen ,2013.0,English,Chris Buck
127,The Matrix Reloaded ,2003.0,English,Lana Wachowski
